	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	3	7	1	1	1	1	48	0	0	-8.28563 	1	0.991211
UL	3	7	2	1	1	2	48	0	0	48.9973 	0	0
UL	4	1	1	1	1	1	48	0	1	37.6758 	0	0
UL	33	7	1	2	1	1	100	0	0	37.6758 	0	0
UL	33	7	3	1	1	2	48	0	0	48.9973 	0	0
UL	34	3	3	1	1	1	1776	28	0	37.6758 	0	0
UL	34	8	1	1	1	2	1776	28	0	48.9973 	0	0
UL	34	8	2	1	1	1	1776	28	0	37.6758 	0	0
UL	35	4	2	1	1	1	1776	28	0	37.6758 	0	0
UL	65	6	1	1	1	1	48	0	0	37.6758 	0	0
UL	66	6	1	1	1	1	1776	28	0	37.6758 	0	0
DL	303	1	1	1	3	1	48	0	0	36.7032	 	0	0
UL	304	0	1	2	1	1	100	0	0	37.6758 	0	0
DL	304	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	305	1	1	1	1	1	1776	28	0	37.6758 	0	0
UL	335	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	335	8	1	1	3	1	48	0	0	36.7032	 	0	0
UL	336	5	1	1	1	1	1776	28	0	37.6758 	0	0
DL	336	8	1	1	3	1	1776	28	0	36.7032	 	0	0
DL	336	9	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	512	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	512	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	513	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	513	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	513	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	513	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	514	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	514	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	514	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	515	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	532	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	532	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	533	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	533	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	533	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	533	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	534	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	534	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	534	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	535	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	552	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	552	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	553	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	553	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	553	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	553	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	554	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	554	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	554	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	555	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	572	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	572	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	573	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	573	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	573	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	573	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	574	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	574	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	574	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	575	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	592	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	592	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	593	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	593	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	593	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	593	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	594	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	594	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	594	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	595	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	612	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	612	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	613	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	613	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	613	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	613	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	614	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	614	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	614	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	615	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	632	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	632	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	633	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	633	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	633	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	633	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	634	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	634	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	634	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	635	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	652	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	652	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	653	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	653	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	653	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	653	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	654	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	654	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	654	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	655	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	672	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	672	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	673	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	673	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	673	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	673	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	674	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	674	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	674	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	675	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	692	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	692	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	693	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	693	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	693	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	693	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	694	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	694	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	694	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	695	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	712	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	712	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	713	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	713	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	713	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	713	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	714	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	714	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	714	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	715	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	732	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	732	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	733	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	733	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	733	2	2	8	3	1	411	0	0	36.7032	 	0	0
